roto_name,name,team,date
,Andrew Wiggins,MINNESOTA TIMBERWOLVES,1
,Dario Saric,MINNESOTA TIMBERWOLVES,1
,Derrick Rose,MINNESOTA TIMBERWOLVES,1
,Gorgui Dieng,MINNESOTA TIMBERWOLVES,1
,Isaiah Canaan,MINNESOTA TIMBERWOLVES,1
,Jeff Teague,MINNESOTA TIMBERWOLVES,1
,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,1
,Robert Covington,MINNESOTA TIMBERWOLVES,1
,Taj Gibson,MINNESOTA TIMBERWOLVES,1
,Tyus Jones,MINNESOTA TIMBERWOLVES,1
,Andrew Harrison,NEW ORLEANS PELICANS,1
,Anthony Davis,NEW ORLEANS PELICANS,1
,Ian Clark,NEW ORLEANS PELICANS,1
,Kenrich Williams,NEW ORLEANS PELICANS,1
,Henry Ellenson,NEW YORK KNICKS,1
,Trey Burke,NEW YORK KNICKS,1
,Hamidou Diallo,OKLAHOMA CITY THUNDER,1
,Markieff Morris,OKLAHOMA CITY THUNDER,1
,Jarell Martin,ORLANDO MAGIC,1
,Boban Marjanovic,PHILADELPHIA 76ERS,1
,Corey Brewer,PHILADELPHIA 76ERS,1
,Dario Saric,PHILADELPHIA 76ERS,1
,Haywood Highsmith,PHILADELPHIA 76ERS,1
,Jimmy Butler,PHILADELPHIA 76ERS,1
,Joel Embiid,PHILADELPHIA 76ERS,1
,Jonah Bolden,PHILADELPHIA 76ERS,1
,Jonathon Simmons,PHILADELPHIA 76ERS,1
,Landry Shamet,PHILADELPHIA 76ERS,1
,Markelle Fultz,PHILADELPHIA 76ERS,1
,Mike Muscala,PHILADELPHIA 76ERS,1
,Mike Scott,PHILADELPHIA 76ERS,1
,Robert Covington,PHILADELPHIA 76ERS,1
,T.J. McConnell,PHILADELPHIA 76ERS,1
,Tobias Harris,PHILADELPHIA 76ERS,1
,Wilson Chandler,PHILADELPHIA 76ERS,1
,Emanuel Terry,PHOENIX SUNS,1
,Jimmer Fredette,PHOENIX SUNS,1
,Quincy Acy,PHOENIX SUNS,1
,Ray Spalding,PHOENIX SUNS,1
,Skal Labissiere,PORTLAND TRAIL BLAZERS,1
,Bogdan Bogdanovic,SACRAMENTO KINGS,1
,Corey Brewer,SACRAMENTO KINGS,1
,Harrison Barnes,SACRAMENTO KINGS,1
,Iman Shumpert,SACRAMENTO KINGS,1
,Justin Jackson,SACRAMENTO KINGS,1
,Kosta Koufos,SACRAMENTO KINGS,1
,Marvin Bagley,SACRAMENTO KINGS,1
,Skal Labissiere,SACRAMENTO KINGS,1
,Troy Williams,SACRAMENTO KINGS,1
,Davis Bertans,SAN ANTONIO SPURS,1
,Drew Eubanks,SAN ANTONIO SPURS,1
,Danny Green,TORONTO RAPTORS,1
,Fred VanVleet,TORONTO RAPTORS,1
,Jeremy Lin,TORONTO RAPTORS,1
,Jodie Meeks,TORONTO RAPTORS,1
,Kawhi Leonard,TORONTO RAPTORS,1
,Kyle Lowry,TORONTO RAPTORS,1
,Marc Gasol,TORONTO RAPTORS,1
,Norman Powell,TORONTO RAPTORS,1
,OG Anunoby,TORONTO RAPTORS,1
,Pascal Siakam,TORONTO RAPTORS,1
,Serge Ibaka,TORONTO RAPTORS,1
,Dante Exum,UTAH JAZZ,1
,Ekpe Udoh,UTAH JAZZ,1
,Georges Niang,UTAH JAZZ,1
,Grayson Allen,UTAH JAZZ,1
,Raul Neto,UTAH JAZZ,1
,Bradley Beal,WASHINGTON WIZARDS,1
,Gary Payton,WASHINGTON WIZARDS,1
,Ian Mahinmi,WASHINGTON WIZARDS,1
,Jeff Green,WASHINGTON WIZARDS,1
,Okaro White,WASHINGTON WIZARDS,1
,Otto Porter,WASHINGTON WIZARDS,1
,Sam Dekker,WASHINGTON WIZARDS,1
,Thomas Bryant,WASHINGTON WIZARDS,1
,Tomas Satoransky,WASHINGTON WIZARDS,1
,Trevor Ariza,WASHINGTON WIZARDS,1
