position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
SG,"Harris, Gary^",21.2,"$4,700",DENVER NUGGETS,v bos, 101-121,38:05,   14pt 1rb 2as 3st 3to 6-14fg 2-3ft
PG,"McConnell, T.J.",20.2,"$3,600",PHILADELPHIA 76ERS,@ dal, 103-129,16:04,   6pt 1rb 6as 2st 3-4fg 0-2ft
PG,"Brooks, Aaron",20.1,"$3,500",CHICAGO BULLS,v lal, 126-115,17:11,   2pt 3rb 9as 1st 1to 1-6fg
PG,"Pressey, Phil",19.9,"$3,500",PHOENIX SUNS,v sas, 111-118,28:00,   6pt 2rb 5as 1st 3bl 4to 2-6fg 2-5ft
SG,"Smith, J.R.^",19.1,"$5,100",CLEVELAND CAVALIERS,@ okc, 115-92,39:02,   15pt 3rb 1as 1to 5trey 5-12fg
PG,"Conley, Mike^",19,"$6,900",MEMPHIS GRIZZLIES,@ tor, 85-98,34:55,   8pt 5rb 4as 1to 2-12fg 4-5ft
SG,"Brown, Markel",17.9,"$3,500",BROOKLYN NETS,v cha, 96-104,18:43,   12pt 2rb 3as 1to 5-12fg 2-3ft
PG,"Price, Ronnie^",17.7,"$3,500",PHOENIX SUNS,v sas, 111-118,20:00,   11pt 1rb 3as 1bl 1to 1trey 5-8fg
PG,"Joseph, Cory",16.8,"$4,100",TORONTO RAPTORS,v mem, 98-85,25:53,   14pt 4rb 2to 2trey 5-8fg 2-2ft
SG,"Ellington, Wayne^",16.6,"$3,800",BROOKLYN NETS,v cha, 96-104,22:14,   13pt 3rb 1trey 5-9fg 2-2ft
SG,"Williams, Louis",15.9,"$5,400",LOS ANGELES LAKERS,@ chi, 115-126,25:06,   11pt 2rb 1as 1st 1to 1trey 3-6fg 4-7ft
PG,"Canaan, Isaiah",15.7,"$3,500",PHILADELPHIA 76ERS,@ dal, 103-129,26:48,   15pt 1rb 1as 2to 3trey 6-12fg
SG,"Lamb, Jeremy",14.6,"$3,900",CHARLOTTE HORNETS,@ bkn, 104-96,15:46,   5pt 3rb 4as 1trey 2-7fg
PG,"Sloan, Donald^",14.4,"$4,600",BROOKLYN NETS,v cha, 96-104,30:28,   9pt 2rb 2as 1st 2to 1trey 2-8fg 4-4ft
SG,"Harris, Devin",13.6,"$3,500",DALLAS MAVERICKS,v phi, 129-103,17:21,   8pt 3rb 2as 1to 1trey 2-5fg 3-4ft
SG,"Johnson, Chris",13.4,"$3,500",UTAH JAZZ,@ por, 111-115,18:37,   4pt 2rb 2as 1st 1bl 2-3fg
PG,"Payton, Elfrid^",13.4,"$5,700",ORLANDO MAGIC,v ind, 102-105,22:52,   4pt 2rb 4as 2st 3to 1-5fg 2-2ft
SG,"Stauskas, Nik^",13.4,"$3,600",PHILADELPHIA 76ERS,@ dal, 103-129,20:13,   8pt 2rb 2as 2trey 2-4fg 2-2ft
SG,"Dejean-Jones, Bryce^",12.6,"$3,500",NEW ORLEANS PELICANS,@ det, 111-106,20:39,   5pt 3rb 2as 1st 1to 1trey 2-3fg
PG,"Payne, Cameron",11.7,"$3,500",OKLAHOMA CITY THUNDER,v cle, 92-115,9:46,   6pt 1rb 1as 2st 1to 2-5fg 2-2ft
SG,"Waiters, Dion^",11.6,"$3,800",OKLAHOMA CITY THUNDER,v cle, 92-115,32:30,   4pt 3rb 2as 1st 1to 1-8fg 2-2ft
SG,"Henderson, Gerald",11.3,"$4,400",PORTLAND TRAIL BLAZERS,v uta, 115-111,21:41,   4pt 4rb 1as 1st 1to 1-6fg 2-2ft
PG,"Blake, Steve",10.7,"$3,500",DETROIT PISTONS,v nor, 106-111,16:47,   3pt 1rb 5as 1to 1trey 1-3fg
PG,"Dellavedova, Matthew",10.7,"$3,900",CLEVELAND CAVALIERS,@ okc, 115-92,29:07,   2pt 1rb 7as 3to 1-3fg
SG,"Ross, Terrence",10.5,"$4,200",TORONTO RAPTORS,v mem, 98-85,27:11,   9pt 1as 1trey 4-8fg 0-1ft
PG,"Burke, Trey",9.7,"$3,700",UTAH JAZZ,@ por, 111-115,13:24,   6pt 1rb 1as 1bl 1to 2trey 2-7fg
PG,"Larkin, Shane",9.2,"$3,900",BROOKLYN NETS,v cha, 96-104,20:58,   6pt 1rb 2as 1to 2-7fg 2-2ft
PG,"Cole, Norris^",8.9,"$5,100",NEW ORLEANS PELICANS,@ det, 111-106,21:03,   5pt 2rb 3as 3to 2-5fg 1-2ft
SG,"Simmons, Jonathon",8.9,"$3,500",SAN ANTONIO SPURS,@ pho, 118-111,11:06,   7pt 2rb 1as 2to 1-2fg 5-6ft
PG,"Marshall, Kendall",8.2,"$3,500",PHILADELPHIA 76ERS,@ dal, 103-129,6:17,   3pt 1rb 2as 1st 1to 1trey 1-2fg
PG,"Douglas, Toney",7.9,"$3,500",NEW ORLEANS PELICANS,@ det, 111-106,22:38,   3pt 2rb 1as 2st 3to 1trey 1-4fg
SG,"Crabbe, Allen",6.8,"$4,300",PORTLAND TRAIL BLAZERS,v uta, 115-111,19:42,   3pt 4rb 1to 1trey 1-6fg
SG,"Lee, Courtney^",6.7,"$3,700",CHARLOTTE HORNETS,@ bkn, 104-96,21:25,   5pt 1rb 1as 1to 1trey 2-4fg
PG,"Smith, Ishmael^",5.7,"$7,000",PHILADELPHIA 76ERS,@ dal, 103-129,25:39,   3pt 1rb 3as 3to 1-7fg 1-2ft
SG,"Hilliard, Darrun",5.2,"$3,500",DETROIT PISTONS,v nor, 106-111,11:11,   3pt 1rb 1st 1to 1trey 1-3fg
SG,"Morrow, Anthony",5.2,"$3,500",OKLAHOMA CITY THUNDER,v cle, 92-115,13:36,   4pt 1rb 2-8fg
PG,"Irving, Kyrie^",4.7,"$7,700",CLEVELAND CAVALIERS,@ okc, 115-92,9:16,   2pt 1rb 1as 1-5fg
PG,"Watson, C.J.",4.5,"$3,500",ORLANDO MAGIC,v ind, 102-105,11:43,   2pt 1as 1st 1to 0-1fg 2-2ft
SG,"Hill, Solomon",3.9,"$3,500",INDIANA PACERS,@ orl, 105-102,13:38,   1pt 2rb 1as 1to 1-2ft
SG,"Foye, Randy",3.5,"$3,500",OKLAHOMA CITY THUNDER,v cle, 92-115,13:50,   2pt 1as 1-5fg
SG,"Young, Nick",3.2,"$3,500",LOS ANGELES LAKERS,@ chi, 115-126,20:33,   3pt 1rb 1to 1trey 1-6fg
PG,"Neto, Raul^",3.2,"$3,700",UTAH JAZZ,@ por, 111-115,10:05,   4pt 1rb 2to 2-3fg
