slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
pietrmi01,Mickael Pietrus,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,WIN,1021,0,4,0,4,0,0,0,1,0,1,0,0,0,-1.5
riverau01,Austin Rivers,NEW ORLEANS HORNETS,AWAY,HOUSTON ROCKETS,LOSS,1010,1,5,1,3,1,6,1,0,1,0,0,1,2,-1.5
smithis01,Ish Smith,ORLANDO MAGIC,HOME,CHICAGO BULLS,LOSS,447,0,1,0,0,0,0,0,2,0,0,0,1,1,-1.5
grayaa01,Aaron Gray,TORONTO RAPTORS,HOME,PORTLAND TRAIL BLAZERS,WIN,532,0,0,0,0,0,0,0,1,1,0,0,1,4,-1.6
jacksre01,Reggie Jackson,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,LOSS,375,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.7
decolna01,Nando De Colo,SAN ANTONIO SPURS,AWAY,MILWAUKEE BUCKS,WIN,88,0,0,0,0,0,2,0,0,0,0,0,1,0,-1.8
holliry01,Ryan Hollins,LOS ANGELES CLIPPERS,AWAY,GOLDEN STATE WARRIORS,LOSS,80,0,0,0,0,0,0,0,0,0,0,0,1,2,-1.8
tayloty01,Tyshawn Taylor,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,562,0,2,0,0,0,0,0,0,0,0,0,0,1,-1.8
thabeha01,Hasheem Thabeet,OKLAHOMA CITY THUNDER,HOME,BROOKLYN NETS,LOSS,453,0,1,0,0,0,0,0,1,0,0,0,1,1,-1.8
bartowi01,Will Barton,PORTLAND TRAIL BLAZERS,AWAY,TORONTO RAPTORS,LOSS,520,0,1,0,0,0,0,0,0,1,0,0,2,0,-2.0
bayleje01,Jerryd Bayless,MEMPHIS GRIZZLIES,AWAY,BOSTON CELTICS,WIN,117,0,0,0,0,0,0,0,0,0,0,0,2,0,-2.0
masonro01,Roger Mason,NEW ORLEANS HORNETS,AWAY,HOUSTON ROCKETS,LOSS,853,0,2,0,0,0,0,0,0,2,0,0,2,0,-2.0
evansre01,Reggie Evans,BROOKLYN NETS,AWAY,OKLAHOMA CITY THUNDER,WIN,1184,0,2,0,0,1,4,2,4,1,0,0,3,2,-2.1
stiemgr01,Greg Stiemsma,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,495,1,2,0,0,0,0,0,1,0,0,0,1,6,-2.1
sullija01,Jared Sullinger,BOSTON CELTICS,HOME,MEMPHIS GRIZZLIES,LOSS,1158,1,6,0,0,0,0,1,4,0,0,0,0,6,-2.3
hansbbe01,Ben Hansbrough,INDIANA PACERS,HOME,WASHINGTON WIZARDS,WIN,643,0,3,0,2,1,2,0,1,0,1,0,2,1,-2.6
onealje01,Jermaine O'Neal,PHOENIX SUNS,HOME,PHILADELPHIA 76ERS,WIN,740,1,7,0,0,0,0,0,2,1,1,0,2,1,-2.6
