position,name,fantasy_points,salary,team,opponent,score,minutes_played,stats
C,"Towns, Karl-Anthony^",42.4,$52,MINNESOTA TIMBERWOLVES,v por, 122-132,31:43,   17pt 12rb 4as 2bl 1to 1trey 6-21fg 4-4ft
C,"Kornet, Luke^",41.7,$13,NEW YORK KNICKS,v chi, 113-105,28:28,   24pt 6rb 1as 3bl 5trey 8-11fg 3-3ft
C,"Mejri, Salah",41.3,$10,DALLAS MAVERICKS,v phi, 122-102,23:57,   16pt 14rb 3as 2bl 2to 2trey 5-9fg 4-7ft
C,"Robinson, Mitchell^",40,$23,NEW YORK KNICKS,v chi, 113-105,33:02,   14pt 10rb 4as 3bl 1to 4-4fg 6-8ft
C,"Lopez, Brook^",36.4,$24,MILWAUKEE BUCKS,@ bkn, 131-121,33:09,   14pt 2rb 2as 2st 4bl 1to 1trey 5-11fg 3-3ft
C,"Maker, Thon^",35.2,$10,DETROIT PISTONS,@ ind, 102-111,41:30,   14pt 6rb 2as 4bl 1to 4trey 4-10fg 2-2ft
C,"Hernangomez, Guillermo",33.6,$10,CHARLOTTE HORNETS,@ uta, 102-111,21:18,   15pt 8rb 2as 2st 1bl 3to 5-10fg 5-8ft
C,"Nance, Larry^",32.4,$20,CLEVELAND CAVALIERS,@ pho, 113-122,30:19,   9pt 12rb 4as 2st 3to 4-7fg 1-1ft
C,"Vucevic, Nikola^",31.1,$41,ORLANDO MAGIC,@ tor, 109-121,25:59,   13pt 13rb 3as 2to 2trey 5-14fg 1-2ft
C,"Dieng, Gorgui",30.8,$10,MINNESOTA TIMBERWOLVES,v por, 122-132,16:17,   18pt 4rb 2as 1st 1bl 1to 1trey 7-8fg 3-4ft
C,"Holmes, Richaun^",30,$10,PHOENIX SUNS,v cle, 122-113,24:10,   13pt 10rb 2bl 1to 6-7fg 1-3ft
C,"Allen, Jarrett^",29.8,$18,BROOKLYN NETS,v mil, 121-131,27:24,   10pt 9rb 2as 1st 2bl 3to 4-7fg 2-4ft
C,"Zizic, Ante",29.4,$10,CLEVELAND CAVALIERS,@ pho, 113-122,13:53,   15pt 7rb 2as 1bl 5-6fg 5-9ft
C,"Olynyk, Kelly^",28.7,$12,MIAMI HEAT,@ bos, 105-110,39:34,   14pt 6rb 1as 2st 1bl 3to 3trey 4-11fg 3-3ft
C,"Powell, Dwight^",28.3,$20,DALLAS MAVERICKS,v phi, 122-102,22:24,   14pt 4rb 3as 1st 1bl 1to 2trey 5-6fg 2-3ft
C,"Kleber, Maxi",27,$10,DALLAS MAVERICKS,v phi, 122-102,24:40,   12pt 5rb 2as 2st 2trey 5-8fg
C,"Davis, Ed",26.3,$11,BROOKLYN NETS,v mil, 121-131,19:33,   4pt 14rb 1as 2bl 2to 1-3fg 2-2ft
C,"Whiteside, Hassan",24,$17,MIAMI HEAT,@ bos, 105-110,17:19,   3pt 10rb 2as 2bl 1-4fg 1-2ft
C,"Gasol, Marc^",23.8,$21,TORONTO RAPTORS,v orl, 121-109,24:58,   13pt 4rb 4as 2trey 4-8fg 3-3ft
C,"Ibaka, Serge",23.7,$19,TORONTO RAPTORS,v orl, 121-109,20:13,   15pt 6rb 1as 1bl 3to 1trey 7-10fg 0-1ft
C,"Thompson, Tristan^",21,$13,CLEVELAND CAVALIERS,@ pho, 113-122,21:19,   15pt 5rb 6-8fg 3-6ft
C,"Birch, Khem",20.8,$10,ORLANDO MAGIC,@ tor, 109-121,16:16,   11pt 4rb 2as 1bl 1to 5-8fg 1-1ft
C,"Baynes, Aron^",19.2,$10,BOSTON CELTICS,v mia, 110-105,25:09,   4pt 11rb 1bl 1to 0-7fg 4-4ft
C,"Collins, Zach",15.9,$10,PORTLAND TRAIL BLAZERS,@ min, 132-122,26:38,   8pt 2rb 1as 2bl 2to 3-5fg 2-2ft
C,"Leonard, Meyers",15.8,$10,PORTLAND TRAIL BLAZERS,@ min, 132-122,13:28,   9pt 4rb 2as 1to 1trey 4-4fg
C,"Wilson, D.J.",14.5,$10,MILWAUKEE BUCKS,@ bkn, 131-121,21:41,   5pt 5rb 1as 1st 1to 1trey 2-5fg
C,"Marjanovic, Boban",13.9,$10,PHILADELPHIA 76ERS,@ dal, 102-122,13:16,   5pt 7rb 1as 1to 1-4fg 3-4ft
C,"Felicio, Cristiano",11.4,$10,CHICAGO BULLS,@ nyk, 105-113,15:22,   1pt 7rb 2as 1to 0-2fg 1-2ft
C,"Udoh, Ekpe",11.1,$10,UTAH JAZZ,v cha, 111-102,8:59,   4pt 3rb 1as 1st 1to 1-2fg 2-2ft
C,"Biyombo, Bismack^",9.4,$10,CHARLOTTE HORNETS,@ uta, 102-111,10:59,   4pt 2rb 2as 2-3fg
C,"Johnson, Amir",4.4,$10,PHILADELPHIA 76ERS,@ dal, 102-122,4:46,   2pt 2rb 1-2fg
C,"Boucher, Chris",2.2,$10,TORONTO RAPTORS,v orl, 121-109,4:07,   2pt 1rb 1to 1-2fg
C,"Theis, Daniel",2.2,$10,BOSTON CELTICS,v mia, 110-105,6:23,   1pt 1rb 0-2fg 1-2ft
C,"Pachulia, Zaza",1.7,$10,DETROIT PISTONS,@ ind, 102-111,10:46,   0pt 1rb 1as 1to
C,"Bradley, Tony",0,$10,UTAH JAZZ,v cha, 111-102,DNP,   
C,"Jordan, DeAndre",0,$20,NEW YORK KNICKS,v chi, 113-105,DNP,   
C,"Adel, Deng",0,$10,CLEVELAND CAVALIERS,@ pho, 113-122,DNP,   
C,"O'Quinn, Kyle",0,$10,INDIANA PACERS,v det, 111-102,DNP,   
C,"Zeller, Cody",0,$18,CHARLOTTE HORNETS,@ uta, 102-111,NA,   
C,"Carter Jr., Wendell",0,$10,CHICAGO BULLS,@ nyk, 105-113,NA,   
C,"Nurkic, Jusuf",0,$10,PORTLAND TRAIL BLAZERS,@ min, 132-122,NA,   
C,"Gasol, Pau",0,$10,MILWAUKEE BUCKS,@ bkn, 131-121,NA,   
C,"Ayton, Deandre",0,$27,PHOENIX SUNS,v cle, 122-113,NA,   
C,"Mozgov, Timofey",0,$10,ORLANDO MAGIC,@ tor, 109-121,NA,   
C,"Monroe, Greg",0,$10,BOSTON CELTICS,v mia, 110-105,NA,   
C,"Embiid, Joel",0,$52,PHILADELPHIA 76ERS,@ dal, 102-122,NA,   
C,"Patton, Justin",0,$10,PHILADELPHIA 76ERS,@ dal, 102-122,NA,   
C,"Bamba, Mohamed",0,$10,ORLANDO MAGIC,@ tor, 109-121,NA,   
